name,site,support,context,scribe,findspot,parsedInscription,transcription,translatedWords,transliteratedWords,words
"HT18","Haghia Triada","Tablet","LMIB","HT Scribe 20","Villa Magazine","𐘂𐘈𐛱𐄑 𐜓𐄈 𐙘𐄉 𐘞𐘽𐙉𐄐 𐘝𐄐","𐘂𐘈𐛱𐄑𐜓𐄈 𐙘𐄉𐘞𐘽𐙉𐄐𐘝 𐄐","PA-SE|grain|20| |olive oil|2| |olive oil|3| |SA-RA₂|grain|10| |figs|10","PA-SE|GRA+QE|20| |OLE+KI|2| |*304|3| |SA-RA₂|GRA|10| |NI|10","𐘂𐘈|𐛱|𐄑| |𐜓|𐄈| |𐙘|𐄉| |𐘞𐘽|𐙉|𐄐| |𐘝|𐄐"
"HT19","Haghia Triada","Tablet","LMIB","HT Scribe 18","Villa Magazine","𐘴𐙐𐘠𐄁𐘃𐄁𐙍𐄒 𐘞𐘁𐄋𐝆 𐘬𐘋𐘆𐄓𐄉𐝆","𐘴𐙐𐘠𐄁𐘃𐄁 𐙍𐄒𐘞𐘁 𐄋𐝆𐘬𐘋𐘆 𐄓𐄉𐝆","RA-*164-TI|𐄁|TE|𐄁|wine|30| |SA-RO|5|¹⁄₂| |DU-ME-DI|43|¹⁄₂","RA-*164-TI|𐄁|TE|𐄁|VIN|30| |SA-RO|5|¹⁄₂| |DU-ME-DI|43|¹⁄₂","𐘴𐙐𐘠|𐄁|𐘃|𐄁|𐙍|𐄒| |𐘞𐘁|𐄋|𐝆| |𐘬𐘋𐘆|𐄓𐄉|𐝆"
"HT20","Haghia Triada","Tablet","LMIB","HT Scribe 10","Villa Magazine","𐘂𐘁𐘲𐄁 𐙂𐙁𐘶𐝃 𐘿𐙂𐘙𐄁𐘆𐝆 𐘑𐝄 𐘞𐘙𐘶𐝄 𐘮𐝃 𐜇𐝆","𐘂𐘁𐘲𐄁𐙂 𐙁𐘶𐝃𐘿𐙂 𐘙𐄁𐘆𐝆𐘑𐝄 𐘞𐘙𐘶𐝄𐘮 𐝃𐜇𐝆","PA-RO-SU|𐄁| |KU-MA-JU|¹⁄₄| |QE-KU-RE|𐄁|DI|¹⁄₂| |ram|¹⁄₈| |SA-RE-JU|¹⁄₈| |cloth|¹⁄₄| |*188+KU|¹⁄₂","PA-RO-SU|𐄁| |KU-MA-JU|¹⁄₄| |QE-KU-RE|𐄁|DI|¹⁄₂| |*21M|¹⁄₈| |SA-RE-JU|¹⁄₈| |WA|¹⁄₄| |*188+KU|¹⁄₂","𐘂𐘁𐘲|𐄁| |𐙂𐙁𐘶|𐝃| |𐘿𐙂𐘙|𐄁|𐘆|𐝆| |𐘑|𐝄| |𐘞𐘙𐘶|𐝄| |𐘮|𐝃| |𐜇|𐝆"
"HT21","Haghia Triada","Tablet","LMIB","HT Scribe 22","Villa Magazine","𐘢𐘳𐘾𐘈𐄁𐘃𐄁𐙉𐄙𐄕𐄇 𐜋𐄐𐄇 𐜎𐄉𐝕 𐙘𐄍𐝕 𐙋𐄇𐝃","𐘢𐘳𐘾𐘈𐄁𐘃𐄁 𐙉𐄙𐄕𐄇𐜋𐄐 𐄇𐜎𐄉𐝕𐙘𐄍𐝕 𐙋𐄇𐝃","PI-TA-KA-SE|𐄁|TE|𐄁|grain|161| |olive oil|11| |olive oil|3|³⁄₄| |olive oil|7|³⁄₄| |olives|1|¹⁄₄","PI-TA-KA-SE|𐄁|TE|𐄁|GRA|161| |OLE+U|11| |OLE+E|3|³⁄₄| |*304|7|³⁄₄| |OLIV|1|¹⁄₄","𐘢𐘳𐘾𐘈|𐄁|𐘃|𐄁|𐙉|𐄙𐄕𐄇| |𐜋|𐄐𐄇| |𐜎|𐄉|𐝕| |𐙘|𐄍|𐝕| |𐙋|𐄇|𐝃"
"HT22","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐝫 𐛸𐄚𐄒 — 𐜣𐄙𐄐𐄉","𐝫 𐛸𐄚𐄒 — 𐜣𐄙𐄐𐄉","𐝫| |GRA+L2|230| |—| |*330+DA|113","𐝫| |GRA+L2|230| |—| |*330+DA|113","𐝫| |𐛸|𐄚𐄒| |—| |𐜣|𐄙𐄐𐄉"
"HT23a","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘾𐘅𐄁𐙗𐝁 𐙜𐝅 𐜍𐝅 𐜖𐝅 𐜏𐝅 𐛚𐝅 𐙍𐄐 𐚹𐄐 𐚺𐄐 𐘡𐄐𐄍 𐘐𐘭𐘹𐘌𐝇 𐘞𐘞𐘋𐝇 𐛊𐄐 𐘺𐘘𐄇","𐘾𐘅𐄁𐙗𐝁𐙜𐝅𐜍𐝅 𐜖𐝅𐜏𐝅𐛚𐝅𐙍 𐄐𐚹𐄐𐚺𐄐𐘡𐄐𐄍 𐘐𐘭𐘹𐘌𐝇𐘞𐘞 𐘋𐝇𐛊𐄐𐘺𐘘𐄇","KA-NA|𐄁|cyperus|¹⁄₃| |olive oil|≈ ¹⁄₆| |olive oil|≈ ¹⁄₆| |olive oil|≈ ¹⁄₆| |olive oil|≈ ¹⁄₆| |liquid?|≈ ¹⁄₆| |wine|10| |liquid?|10| |liquid?|10| |E|17| |*21F-RI-TU-QA|¹⁄₁₆| |SA-SA-ME|¹⁄₁₆| |SI+ME|10| |KO-RU|1","KA-NA|𐄁|CYP|¹⁄₃| |*308|≈ ¹⁄₆| |OLE+NE|≈ ¹⁄₆| |OLE+TU|≈ ¹⁄₆| |OLE+RI|≈ ¹⁄₆| |MI+JA+RU|≈ ¹⁄₆| |VIN|10| |QA2+[?]+RE|10| |QA2+[?]+RE+PU|10| |E|17| |*21F-RI-TU-QA|¹⁄₁₆| |SA-SA-ME|¹⁄₁₆| |SI+ME|10| |KO-RU|1","𐘾𐘅|𐄁|𐙗|𐝁| |𐙜|𐝅| |𐜍|𐝅| |𐜖|𐝅| |𐜏|𐝅| |𐛚|𐝅| |𐙍|𐄐| |𐚹|𐄐| |𐚺|𐄐| |𐘡|𐄐𐄍| |𐘐𐘭𐘹𐘌|𐝇| |𐘞𐘞𐘋|𐝇| |𐛊|𐄐| |𐘺𐘘|𐄇"
"HT23b","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘝𐘴𐙗𐝁 𐙖𐝫𐝁 𐛚 𐝫𐘕𐝫 𐚻𐝫 𐚹𐄇 𐝫 𐘡𐄍𐝫 𐝫","𐘝𐘴𐙗𐝁𐙖𐝫𐝁 𐛚𐝫𐘕𐝫𐚻𐝫𐚹𐄇 𐝫𐘡𐄍𐝫 𐝫 𐝫","NI-RA|cyperus|¹⁄₃| |olive oil|¹⁄₃| |liquid?| |bovine| |liquid?| |liquid?|1| |𐝫| |E|7| |𐝫","NI-RA|CYP|¹⁄₃| |OLE|¹⁄₃| |MI+JA+RU| |MU| |QA2+[?]+PU| |QA2+[?]+RE|1| |𐝫| |E|7| |𐝫","𐘝𐘴|𐙗|𐝁| |𐙖𐝫|𐝁| |𐛚| |𐝫𐘕𐝫| |𐚻𐝫| |𐚹|𐄇| |𐝫| |𐘡|𐄍𐝫| |𐝫"
"HT24a","Haghia Triada","Tablet","LMIB","","Corridor 9 and Vestibule 26","𐙂𐘰𐘭𐘱𐘸𐙁𐘘𐝫 𐝫𐄌 𐙁𐘘𐘋𐄐 𐝫𐄏𐝆 𐙁𐘘𐘋𐄌 𐘂𐘞𐘭𐘱𐙁𐘘𐘋 𐘘𐘚𐘺𐛢𐝫","𐙂𐘰𐘭𐘱𐘸𐙁𐘘𐝫 𐝫𐄌𐙁𐘘𐘋𐄐 𐝫𐄏𐝆𐙁𐘘𐘋𐄌 𐘂𐘞𐘭𐘱𐛢𐝫 𐘘𐘚𐘺𐛢𐝫","KU-PA₃-RI-JA|KI-MA-RU| |6| |MA-RU-ME|10| |9|¹⁄₂| |MA-RU-ME|6| |from PA-SA-RI| |MA-RU-ME|RU-I-KO|*560","KU-PA₃-RI-JA|KI-MA-RU| |6| |MA-RU-ME|10| |9|¹⁄₂| |MA-RU-ME|6| |PA-SA-RI-JA| |MA-RU-ME|RU-I-KO|*560","𐙂𐘰𐘭𐘱|𐘸𐙁𐘘𐝫| |𐝫𐄌| |𐙁𐘘𐘋|𐄐| |𐝫𐄏|𐝆| |𐙁𐘘𐘋|𐄌| |𐘂𐘞𐘭𐘱| |𐙁𐘘𐘋𐝫|𐘘𐘚𐘺|𐛢𐝫"
"HT24b","Haghia Triada","Tablet","LMIB","","Corridor 9 and Vestibule 26","𐝫𐙈𐄇𐝕 𐛋𐙈𐄇𐝕 𐛒𐙈𐄇","𐝫𐙈𐄇𐝕𐛋 𐙈𐄇𐝕𐛒𐙈𐄇","talent|1|³⁄₄| |SI+ME-KI-*118|1|³⁄₄| |*539-*118|1","*118|1|³⁄₄| |SI+ME-KI-*118|1|³⁄₄| |*539-*118|1","𐝫𐙈|𐄇|𐝕| |𐛋𐙈|𐄇|𐝕| |𐛒𐙈|𐄇"
"HT25a","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐝫 𐝫𐄇 𐘆𐘅𐘉𐝫 𐝫𐘘𐘝𐄇 𐘉𐘙𐘣𐄇 𐘆𐘅𐘉𐄇 𐘇𐘭𐘝𐘳𐄇 𐘹𐘿𐘯𐝫 𐝫𐙀𐘶𐘜𐄇 𐘬𐘘𐘣𐝫 𐝫𐘚𐘸𐘴𐄇 𐘂𐄇","𐝫 𐝫𐄇𐘆𐘅𐘉𐝫 𐝫𐘘𐘝𐄇𐘉𐘙𐘣𐄇𐘆𐘅𐘉 𐄇𐘇𐘭𐘝𐘳𐄇𐘹𐘿𐘯𐝫 𐝫𐙀𐘶𐘜𐄇𐘬𐘘𐘣𐝫 𐝫𐘚𐘸𐘴𐄇𐘂𐄇","𐝫| |1| |DI-NA-U| |RU-NI|1| |U-RE-WI|1| |DI-NA-U|1| |A-RI-NI-TA|1| |TU-QE-NU| |ZU-JU-PU₂|1| |DU-RU-WI| |I-KI-RA|1| |PA|1","𐝫| |1| |DI-NA-U| |RU-NI|1| |U-RE-WI|1| |DI-NA-U|1| |A-RI-NI-TA|1| |TU-QE-NU| |ZU-JU-PU₂|1| |DU-RU-WI| |I-KI-RA|1| |PA|1","𐝫| |𐝫𐄇| |𐘆𐘅𐘉𐝫| |𐝫𐘘𐘝|𐄇| |𐘉𐘙𐘣|𐄇| |𐘆𐘅𐘉|𐄇| |𐘇𐘭𐘝𐘳|𐄇| |𐘹𐘿𐘯𐝫| |𐝫𐙀𐘶𐘜|𐄇| |𐘬𐘘𐘣𐝫| |𐝫𐘚𐘸𐘴|𐄇| |𐘂|𐄇"
"HT25b","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐝫 𐝫 𐙂𐘁𐄐𐄌 𐘣𐘃𐘁𐄁𐘚𐘠𐙇𐄑𐄎 𐙇𐄑𐄊 𐙂𐘁𐄔𐄈","𐝫 𐝫 𐙂𐘁𐄐𐄌𐘣𐘃𐘁𐄁𐘚 𐘠𐙇𐄑𐄎𐙇𐄑𐄊 𐙂𐘁𐄔𐄈","𐝫| |𐝫| |""total""|16| |WI-TE-RO|𐄁|I-TI|VIR+[?]|28| |VIR+[?]|24| |""total""|52","𐝫| |𐝫| |KU-RO|16| |WI-TE-RO|𐄁|I-TI|VIR+[?]|28| |VIR+[?]|24| |KU-RO|52","𐝫| |𐝫| |𐙂𐘁|𐄐𐄌| |𐘣𐘃𐘁|𐄁|𐘚𐘠|𐙇|𐄑𐄎| |𐙇|𐄑𐄊| |𐙂𐘁|𐄔𐄈"
"HT26a","Haghia Triada","Tablet","LMIB","HT Scribe 3","Villa Magazine","𐜮𐄁 𐙢𐘃𐘃𐄁 𐘳𐘠𐄑𐄇 𐘻𐘸𐘈𐘅𐄐𐄋 𐘉𐘯𐘐𐄋𐝫 𐝫","𐜮𐄁𐙢𐘃𐘃𐄁 𐘳𐘠𐄑𐄇𐘻𐘸 𐘈𐘅𐄐𐄋𐘉𐘯 𐘐𐄋𐝫 𐝫","*406VAS+KE|𐄁| |*312-TE-TE|𐄁| |TA-TI|21| |MI-KI-SE-NA|15| |U-NU-*21F|5| |𐝫","*406VAS+KE|𐄁| |*312-TE-TE|𐄁| |TA-TI|21| |MI-KI-SE-NA|15| |U-NU-*21F|5| |𐝫","𐜮|𐄁| |𐙢𐘃𐘃|𐄁| |𐘳𐘠|𐄑𐄇| |𐘻𐘸𐘈𐘅|𐄐𐄋| |𐘉𐘯𐘐|𐄋𐝫| |𐝫"
"HT26b","Haghia Triada","Tablet","LMIB","HT Scribe 3","Villa Magazine","𐄁𐜮𐄁𐙇𐄏 𐝫𐘁𐘝𐄉 𐘾𐘉𐙀𐘝𐄊 𐛖𐄐𐄈 𐘚𐙜𐄈𐝫 𐙓𐙅𐄍𐝫 𐝫","𐄁𐜮𐄁𐙇𐄏 𐝫𐘁𐘝𐄉𐘾𐘉 𐙀𐘝𐄊𐛖𐄐𐄈 𐘚𐙜𐄈𐝫𐙓𐙅𐄍𐝫 𐝫","𐄁|*406VAS+KE|𐄁|VIR+[?]|9| |RO-NI|3| |KA-U-ZU-NI|4| |KI+MU|12| |I-*308|2| |*188-*86|7| |𐝫","𐄁|*406VAS+KE|𐄁|VIR+[?]|9| |RO-NI|3| |KA-U-ZU-NI|4| |KI+MU|12| |I-*308|2| |*188-*86|7| |𐝫","𐄁|𐜮|𐄁|𐙇|𐄏| |𐝫𐘁𐘝|𐄉| |𐘾𐘉𐙀𐘝|𐄊| |𐛖|𐄐𐄈| |𐘚𐙜|𐄈𐝫| |𐙓𐙅|𐄍𐝫| |𐝫"
"HT27a","Haghia Triada","Tablet","LMIB","HT Scribe 11","Villa Magazine","𐘠𐘝𐘳𐄁𐙛𐄁 𐙇𐄘 𐝫𐄔 𐙅𐄔𐄇 𐘙𐄑 𐝫𐘚𐘻𐘞𐘴𐄓𐄉 𐝫𐘿𐄑𐄇 𐘸𐘀𐝫 𐝫𐘸𐙠𐄁𐙂𐙙𐝫 𐝫𐘞𐘴𐘆𐄋 𐙇𐄓𐄈 𐙂𐘁𐄛𐄒𐄋 𐙗𐄏𐝕𐝁 𐘝𐄐𐝁 𐙍𐄍","𐘠𐘝𐘳𐄁𐙛𐄁𐙇𐄘 𐝫𐄔𐙅𐄔𐄇𐘙𐄑𐝫 𐘚𐘻𐘞𐘴𐄓𐄉𐝫 𐘿𐄑𐄇𐘸𐘀𐝫𐘸 𐙠𐄁𐙂𐙙𐝫𐘞𐘴𐘆𐄋 𐙇𐄓𐄈 𐙂𐘁𐄛𐄒𐄋 𐙗𐄏𐝆𐝃𐝁𐘝𐄐𐝁𐙍𐄍","TI-NI-TA|𐄁|*307|𐄁| |VIR+[?]|90| |50| |*86|51| |RE|20| |I-MI-SA-RA|43| |QE|21| |KI-DA| |KI-*310|𐄁|KU-*305| |SA-RA-DI|5| |VIR+[?]|42| |""total""|335| |cyperus|9|𐝕𐝁| |figs|10|¹⁄₃| |wine|7","TI-NI-TA|𐄁|*307|𐄁| |VIR+[?]|90| |50| |*86|51| |RE|20| |I-MI-SA-RA|43| |QE|21| |KI-DA| |KI-*310|𐄁|KU-*305| |SA-RA-DI|5| |VIR+[?]|42| |KU-RO|335| |CYP|9|𐝕𐝁| |NI|10|¹⁄₃| |VIN|7","𐘠𐘝𐘳|𐄁|𐙛|𐄁| |𐙇|𐄘| |𐝫𐄔| |𐙅|𐄔𐄇| |𐘙|𐄑| |𐝫𐘚𐘻𐘞𐘴|𐄓𐄉| |𐝫𐘿|𐄑𐄇| |𐘸𐘀𐝫| |𐝫𐘸𐙠|𐄁|𐙂𐙙𐝫| |𐝫𐘞𐘴𐘆|𐄋| |𐙇|𐄓𐄈| |𐙂𐘁|𐄛𐄒𐄋| |𐙗|𐄏|𐝕𐝁| |𐘝|𐄐|𐝁| |𐙍|𐄍"
"HT27b","Haghia Triada","Tablet","LMIB","HT Scribe 11","Villa Magazine","𐝫𐘻𐘀𐄁𐛾𐄁𐘞𐄍 𐝫𐙍𐄁𐙉𐄁𐘞𐄇 𐘙𐄐𐄊 𐙍𐄁𐘤𐄁 𐝫 𐘂𐘈𐄁𐛽𐄁𐘞𐄊 𐘙𐄖 𐙍𐝫𐄁𐝫𐙉𐄁𐘞𐄊 𐘙𐝫𐄓","𐝫𐘻𐘀𐄁𐛾𐄁𐘞𐄍 𐝫𐙍𐙉𐄁𐘞𐄇𐘙𐄐𐄊𐙍𐘤 𐝫 𐘂𐘈𐄁𐛽𐄁𐘞𐄊𐘙𐄖 𐙍𐝫𐄁𐝫𐙉𐄁𐘞𐄊𐘙𐝫𐄓","MI-DA|𐄁|wine|𐄁|flax|7| |wine|𐄁|grain|𐄁|flax|1| |RE|14| |wine|𐄁|SI|𐄁| |𐝫| |PA-SE|𐄁|wine|𐄁|flax|4| |RE|70| |wine|𐄁|grain|𐄁|flax|4| |RE|40","MI-DA|𐄁|VIN+WA|𐄁|SA|7| |VIN|𐄁|GRA|𐄁|SA|1| |RE|14| |VIN|𐄁|SI|𐄁| |𐝫| |PA-SE|𐄁|VIN+WA|𐄁|SA|4| |RE|70| |VIN|𐄁|GRA|𐄁|SA|4| |RE|40","𐝫𐘻𐘀|𐄁|𐛾|𐄁|𐘞|𐄍| |𐝫𐙍|𐄁|𐙉|𐄁|𐘞|𐄇| |𐘙|𐄐𐄊| |𐙍|𐄁|𐘤|𐄁| |𐝫| |𐘂𐘈|𐄁|𐛽|𐄁|𐘞|𐄊| |𐘙|𐄖| |𐙍𐝫|𐄁|𐝫𐙉|𐄁|𐘞|𐄊| |𐘙𐝫|𐄓"
"HT28a","Haghia Triada","Tablet","LMIB","HT Scribe 13","Villa Magazine","𐘇𐘤𐘱𐘾𐄁 𐘱𐘐𐄁𐛱𐄋 𐜋𐄈 𐜓𐝆 𐜗𐄇 𐜖𐝉 𐘞𐘽𐜉𐄇 𐘝𐄈 𐙍𐄉 𐛧𐙍𐄌 𐘇𐘘𐘀𐘴𐙉𐄋 𐙘𐄈 𐜉𐄉 𐘚𐘳𐘱𐜉𐄐","𐘇𐘤𐘱𐘾𐄁𐘱𐘐𐄁𐛱 𐄋𐜋𐄈𐜓𐝆𐜗𐄇𐜖 𐝉𐘞𐘽𐜉𐄇𐘝𐄈 𐙍𐄉𐛧𐙍𐄌 𐘇𐘘𐘀𐘴𐙉𐄋𐙘𐄈 𐜉𐄉𐘚𐘳𐘱𐜉𐄐","A-SI-JA-KA|𐄁| |JA-*21F|𐄁|grain|5| |olive oil|2| |olive oil|¹⁄₂| |olive oil|1| |olive oil|𐝉| |SA-RA₂|olive oil|1| |figs|2| |wine|3| |VIR+KA-VIN|6| |A-RU-DA-RA|grain|5| |olive oil|2| |olive oil|3| |I-TA-JA|olive oil|10","A-SI-JA-KA|𐄁| |JA-*21F|𐄁|GRA+QE|5| |OLE+U|2| |OLE+KI|¹⁄₂| |OLE+MI|1| |OLE+TU|𐝉| |SA-RA₂|OLE+DI|1| |NI|2| |VIN|3| |VIR+KA-VIN|6| |A-RU-DA-RA|GRA|5| |*304|2| |OLE+DI|3| |I-TA-JA|OLE+DI|10","𐘇𐘤𐘱𐘾|𐄁| |𐘱𐘐|𐄁|𐛱|𐄋| |𐜋|𐄈| |𐜓|𐝆| |𐜗|𐄇| |𐜖|𐝉| |𐘞𐘽|𐜉|𐄇| |𐘝|𐄈| |𐙍|𐄉| |𐛧𐙍|𐄌| |𐘇𐘘𐘀𐘴|𐙉|𐄋| |𐙘|𐄈| |𐜉|𐄉| |𐘚𐘳𐘱|𐜉|𐄐"
"HT28b","Haghia Triada","Tablet","LMIB","HT Scribe 13","Villa Magazine","𐘇𐘤𐘱𐘾𐄁𐘉𐘻𐘅𐘤𐄁 𐘞𐘽𐙉𐄑 𐜉𐄋 𐘝𐄈 𐙍𐄊 𐘫𐘽𐘝𐄌 𐘱𐘐𐙍𐄌 𐘣𐘆𐘅𐜉𐄉 𐙍𐄉 𐝫𐝃","𐘇𐘤𐘱𐘾𐄁𐘉𐘻𐄁 𐘅𐘤𐘞𐘽𐙉𐄑𐜉 𐄋𐘝𐄈𐙍𐄊𐘫𐘽 𐘝𐄌𐘱𐘐𐙍𐄌 𐘣𐘆𐘅𐜉𐄉𐙍𐄉 𐝫𐝃𐝫","A-SI-JA-KA|𐄁|""owed""?|𐄁| |SA-RA₂|grain|20| |olive oil|5| |figs|2| |wine|4| |PU-RA₂|figs|6| |JA-*21F|wine|6| |WI-DI-NA|olive oil|3| |wine|3| |¹⁄₄","A-SI-JA-KA|𐄁|U-MI-NA-SI|𐄁| |SA-RA₂|GRA|20| |OLE+DI|5| |NI|2| |VIN|4| |PU-RA₂|NI|6| |JA-*21F|VIN|6| |WI-DI-NA|OLE+DI|3| |VIN|3| |¹⁄₄","𐘇𐘤𐘱𐘾|𐄁|𐘉𐘻𐘅𐘤|𐄁| |𐘞𐘽|𐙉|𐄑| |𐜉|𐄋| |𐘝|𐄈| |𐙍|𐄊| |𐘫𐘽|𐘝|𐄌| |𐘱𐘐|𐙍|𐄌| |𐘣𐘆𐘅|𐜉|𐄉| |𐙍|𐄉| |𐝃"
"HT29","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘘𐙁𐘳𐄈𐝫 𐝫𐄁𐄇 𐘂𐘱𐘙𐄈𐝫 𐝫𐘆𐘱𐘚𐄈 𐘞𐙯𐘻𐄇 𐝫𐄁𐝫𐘸𐘳𐄈 𐘇𐘙𐘀𐘚𐄈 𐘾𐘬𐙁𐘗𐄇","𐘘𐙁𐘳𐄈𐝫 𐝫𐄁𐝫𐄇𐘂𐘱𐘙𐄈𐝫 𐝫𐘆𐘱𐘚𐄈 𐘞𐙯𐘻𐄇𐝫𐄁𐝫𐘸𐘳 𐄈𐘇𐘙𐘀𐘚𐄈 𐘾𐘬𐙁𐘗𐄇","RU-MA-TA|2| |𐄁|1| |PA-JA-RE|2| |DI-JA-I|2| |SA-*323-MI|1| |𐄁|KI-TA|2| |A-RE-DA-I|2| |KA-DU-MA-NE|1","RU-MA-TA|2| |𐄁|1| |PA-JA-RE|2| |DI-JA-I|2| |SA-*323-MI|1| |𐄁|KI-TA|2| |A-RE-DA-I|2| |KA-DU-MA-NE|1","𐘘𐙁𐘳|𐄈𐝫| |𐄁|𐄇| |𐘂𐘱𐘙|𐄈𐝫| |𐝫𐘆𐘱𐘚|𐄈| |𐘞𐙯𐘻|𐄇| |𐄁|𐝫𐘸𐘳|𐄈| |𐘇𐘙𐘀𐘚|𐄈| |𐘾𐘬𐙁𐘗|𐄇"
"HT30","Haghia Triada","Tablet","LMIB","HT Scribe 1","Villa Magazine","𐘤𐄊 𐘞𐘽𐙗𐝫 𐝫𐄐𐄊𐝆 𐘝𐄍𐝂 𐙍𐄎𐝆 𐜐𐝓 𐚻𐝂 𐘞𐘴𐘴𐝆 𐘖𐄇 𐘸𐘁𐄁𐙗𐄎 𐘝𐝓 𐙍𐝆 𐘖𐄇𐝫 𐝫𐝂 𐜐𐝂 𐝫","𐘤𐄊𐘞𐘽𐙗𐝫 𐝫𐄐𐄊𐝆𐘝𐄍𐝂𐙍𐄎𐝆 𐜐𐝓𐚻𐝂𐘞𐘴𐘴𐝆 𐘖𐄇𐘸𐘁𐄁𐙗𐄎𐘝𐝓 𐙍𐝆𐘖𐄇𐝫𐝂𐜐𐝂 𐝫","SI|4| |SA-RA₂|cyperus| |14|¹⁄₂| |figs|7|¹⁄₅| |wine|8|¹⁄₂| |olive oil|𐝓| |liquid?|¹⁄₅| |SA-RA-RA|¹⁄₂| |bull|1| |""owed""|𐄁|cyperus|8| |figs|𐝓| |wine|¹⁄₂| |bull|1| |¹⁄₅| |olive oil|¹⁄₅| |𐝫","SI|4| |SA-RA₂|CYP| |14|¹⁄₂| |NI|7|¹⁄₅| |VIN|8|¹⁄₂| |OLE+TA|𐝓| |QA2+[?]+PU|¹⁄₅| |SA-RA-RA|¹⁄₂| |*23M|1| |KI-RO|𐄁|CYP|8| |NI|𐝓| |VIN|¹⁄₂| |*23M|1| |¹⁄₅| |OLE+TA|¹⁄₅| |𐝫","𐘤|𐄊| |𐘞𐘽|𐙗𐝫| |𐝫𐄐𐄊|𐝆| |𐘝|𐄍|𐝂| |𐙍|𐄎|𐝆| |𐜐|𐝓| |𐚻|𐝂| |𐘞𐘴𐘴|𐝆| |𐘖|𐄇| |𐘸𐘁|𐄁|𐙗|𐄎| |𐘝|𐝓| |𐙍|𐝆| |𐘖|𐄇𐝫| |𐝫𐝂| |𐜐|𐝂| |𐝫"
"HT31","Haghia Triada","Tablet","LMIB","HT Scribe 12","Villa Magazine","𐝫𐄁𐝫𐘠𐘞𐄁𐘫𐘺𐄁𐚪𐝫 𐝫𐄋 𐚢𐘌𐘰𐄐 𐚯𐘲𐘫𐄐 𐝫𐚰𐘾𐘁𐘰𐄐 𐘞𐘱𐙁𐄒𐝫 𐝫𐄐 𐘸𐘦𐙁𐙯𐘅 𐚢𐄜 𐚢𐘲𐘰𐘴𐄛 𐚢𐘂𐘳𐘿𐄤","𐝫𐄁𐝫𐘠𐘞𐄁𐘫𐘺𐄁𐚪𐝫 𐝫𐄋𐚢𐘌𐘰𐄐𐚯𐘲𐘫𐄐 𐝫𐚰𐘾𐘁𐘰𐄐𐘞𐘱𐙁𐄒𐝫 𐝫𐄐𐘸𐘦𐙁𐙯𐘅 𐝫𐚢𐝫𐄜𐚢𐘲𐘰𐘴𐄛 𐚢𐘂𐘳𐘿𐄤","𐄁|TI-SA|𐄁|PU-KO|𐄁|*410-VS|𐝫| |5| |*815-QA-PA₃|10| |*415-VS-SU-PU|10| |*416-VS-KA-RO-PA₃|10| |SA-JA-MA|30| |10| |KI-DE-MA-*323-NA| |*815|400| |*815-SU-PA₃-RA|300| |*815-PA-TA-QE|3000","𐄁|TI-SA|𐄁|PU-KO|𐄁|*410-VS|𐝫| |5| |*815-QA-PA₃|10| |*415-VS-SU-PU|10| |*416-VS-KA-RO-PA₃|10| |SA-JA-MA|30| |10| |KI-DE-MA-*323-NA| |*815|400| |*815-SU-PA₃-RA|300| |*815-PA-TA-QE|3000","𐄁|𐝫𐘠𐘞|𐄁|𐘫𐘺|𐄁|𐚪|𐝫| |𐝫𐄋| |𐚢𐘌𐘰|𐄐| |𐚯𐘲𐘫|𐄐| |𐝫𐚰𐘾𐘁𐘰|𐄐| |𐘞𐘱𐙁|𐄒𐝫| |𐝫𐄐| |𐘸𐘦𐙁𐙯𐘅| |𐚢|𐄜| |𐚢𐘲𐘰𐘴|𐄛| |𐚢𐘂𐘳𐘿|𐄤"
